127.0.0.1 - - [07/Sep/2026 19:55:49] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /w/ux-workspace/projects/ux-project/review HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /assets/index-BI3-TMwt.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /assets/index-DIKSet9F.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /assets/ReviewWorkspace-ICNuuPuW.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /assets/SemanticDiff-CJXXdyHq.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /assets/FoundationPages-2ERc5Mdo.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:50] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:53] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:54] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:55:54] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:54] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:54] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:56] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:58] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:55:58] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:58] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:55:58] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:00] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:02] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:56:02] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:02] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:02] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:04] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:06] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 503 -
127.0.0.1 - - [07/Sep/2026 19:56:06] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:07] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:56:09] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-3-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:56:10] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-3-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
