127.0.0.1 - - [07/Sep/2026 19:58:30] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /w/ux-workspace/projects/ux-project/review HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /assets/index-BI3-TMwt.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /assets/index-DIKSet9F.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /assets/ReviewWorkspace-ICNuuPuW.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /assets/SemanticDiff-CJXXdyHq.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /assets/FoundationPages-2ERc5Mdo.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:31] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:32] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:58:32] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:32] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:32] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:34] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:36] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:58:36] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:36] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:36] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:38] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:39] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:58:39] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:39] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:39] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:42] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:43] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:58:43] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:43] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:43] "GET /api/render/projects/ux-project/timeline/revisions?limit=50 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:46] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:47] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 503 -
127.0.0.1 - - [07/Sep/2026 19:58:48] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:49] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-1-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 19:58:51] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-3-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 19:58:52] "GET /api/render/projects/ux-project/timeline/revisions/compare?from=review-3-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx&to=review-2-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 200 -
