127.0.0.1 - - [07/Sep/2026 21:52:05] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:06] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:08] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:08] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:09] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:09] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:09] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:09] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:09] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:11] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:14] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:16] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureFailure=read HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:16] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:16] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:16] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:16] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:17] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:17] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /w/simulated-workspace/projects/simulated-project/overview HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:18] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:19] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureAccess=denied HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:19] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:19] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:19] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureAccess=unknown HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:20] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:21] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:22] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:52:22] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:52:22] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:52:22] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
