127.0.0.1 - - [07/Sep/2026 21:53:24] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:25] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:28] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:28] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:28] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:28] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:31] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:31] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:31] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:31] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:33] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:33] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:33] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:33] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:33] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:34] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:34] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:36] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureFailure=read HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:36] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:37] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:37] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:38] "GET /w/simulated-workspace/projects/simulated-project/overview HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:38] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:38] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:38] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:39] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureAccess=denied HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:39] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:39] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:39] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:40] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1&notificationFixtureAccess=unknown HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:40] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:40] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:40] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:40] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:41] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:42] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Sep/2026 21:53:42] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [07/Sep/2026 21:53:42] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [07/Sep/2026 21:53:42] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
