127.0.0.1 - - [08/Sep/2026 00:00:11] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /assets/index-B7VMVCqR.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /assets/index-otlnpJ3b.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /assets/FoundationPages-COgV8pX5.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:12] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:14] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:14] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:15] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:15] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:16] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:17] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:17] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:17] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:19] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:19] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:19] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:19] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:21] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:21] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:22] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:22] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:24] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:24] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:24] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:24] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:26] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
